sep=;
"Echantillon";"Composition";"Pourcentage";"Type"
"Trovæ P212CR968 8/06/17";"Sainfoin";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Papaver";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Réséda";"37.0";"Accompagnement"
"Trovæ P212CR968 8/06/17";"Phacélie";"32.0";"Accompagnement"
"Trovæ P212CR968 8/06/17";"Aigremoine eupatoire";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Mélilot";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Germandrée";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Sainfoin";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Papaver";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Réséda";"37.0";"Accompagnement"
"Trovæ P212CR968 8/06/17";"Phacélie";"32.0";"Accompagnement"
"Trovæ P212CR968 8/06/17";"Aigremoine eupatoire";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Mélilot";"0.0";"Isolé"
"Trovæ P212CR968 8/06/17";"Germandrée";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Papaver";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Sainfoin";"204.0";"Dominant"
"Troyæ P212CR969 8/06/17";"Phacélie";"10.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Tamaris";"3.4";"Isolé"
"Troyæ P212CR969 8/06/17";"Seringat";"3.0";"Isolé"
"Troyæ P212CR969 8/06/17";"R&éda";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Tilleul";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Nerprun";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Sedum";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Trèfle blanc";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Aigremoine eupatoire";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Luzerne";"0.0";"Isolé"
"Troyæ P212CR969 8/06/17";"Sumac";"0.0";"Isolé"
"Troyes P212CR970 8/06/17";"Sainfoi n";"0.0";"Isolé"
"Troyes P212CR970 8/06/17";"Phaoélie";"0.0";"Isolé"
"Troyes P212CR970 8/06/17";"Papaver";"2.53";"Isolé"
"Troyes P212CR970 8/06/17";"R’séda";"0.0";"Isolé"
"Troyes P212CR970 8/06/17";"Ronce";"0.0";"Isolé"
"Troyes P212CR970 8/06/17";"Trèﬂe blanc";"0.0";"Isolé"
"Troyes P212CR970 8/06/17";"Sedum";"0.0";"Isolé"
"Troyæ P212CR971 8/06/17";"Sainfoin";"0.0";"Isolé"
"Troyæ P212CR971 8/06/17";"Phacélie";"0.0";"Isolé"
"Troyæ P212CR971 8/06/17";"Papaver";"0.0";"Isolé"
"Troyæ P212CR971 8/06/17";"Trèﬂe blanc";"0.0";"Isolé"
"Troyæ P212CR971 8/06/17";"Sedum";"0.0";"Isolé"
"Troyes P212CR972 8/06/17";"Sainfoin";"0.0";"Isolé"
"Troyes P212CR972 8/06/17";"Phaoélie";"0.0";"Isolé"
"Troyes P212CR972 8/06/17";"Sedum";"0.0";"Isolé"
"Troyes P212CR972 8/06/17";"Papaver";"0.0";"Isolé"
"Troyes P212CR972 8/06/17";"Ronce";"0.0";"Isolé"
"Troyes H212CR968 27/5/l7";"Colza";"0.0";"Isolé"
"Troyes H212CR968 27/5/l7";") :";"0.0";"Isolé"
"Troyes H212CR968 27/5/l7";"Marronnier";"6.0";"Isolé"
"Troyes H212CR968 27/5/l7";"Fruitiers";"3.4";"Isolé"
"Troyes H212CR968 27/5/l7";"Trèﬂe blanc";"3.4";"Isolé"
"Troyes H212CR968 27/5/l7";"Erable";"0.0";"Isolé"
"Troyes H212CR968 27/5/l7";"Papaver";"0.0";"Isolé"
"Troyes H212CR968 27/5/l7";"R&éda";"0.0";"Isolé"
"Troyes H212CR968 27/5/l7";"Cormuiller sanguin";"0.0";"Isolé"
"Troyes H212CR968 27/5/l7";"Noyer";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Phacélie";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";": Colza";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Fruitiers";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Marronnier";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Réséda";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Saule";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Ronce";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Sainfoin";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Luzerne";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Mélilot";"0.0";"Isolé"
"Troyes H2126R970 27/5/17";"Pin";"0.0";"Isolé"
"Troyæ H212CR971 27/5/17";"Colza";"0.0";"Isolé"
"Troyæ H212CR971 27/5/17";"Myosotis";"0.0";"Isolé"
"Troyæ H212CR971 27/5/17";"Papaver";"32.0";"Accompagnement"
"Troyæ H212CR971 27/5/17";"Fruitiers";"0.0";"Isolé"
"Troyæ H212CR971 27/5/17";"Trèﬂe blanc";"2.4";"Isolé"
